,odd_name,db_name,similarity
301,Werder Bremen,1. FC Köln,0.15384615384615385
302,Werder Bremen,Mainz 05,0.07692307692307687
303,Werder Bremen,Borussia M'gladbach,0.10526315789473684
304,Werder Bremen,Union Berlin,0.23076923076923073
305,Werder Bremen,VfB Stuttgart,0.0
306,Wolfsburg,FC Augsburg,0.4545454545454546
307,Wolfsburg,Schalke 04,0.0
308,Wolfsburg,RB Leipzig,0.09999999999999998
309,Wolfsburg,FC Bayern,0.11111111111111116
310,Wolfsburg,Borussia Dortmund,0.17647058823529416
311,Wolfsburg,VfL Wolfsburg,0.6923076923076923
312,Wolfsburg,Arminia Bielefeld,0.0
313,Wolfsburg,Hoffenheim,0.19999999999999996
314,Wolfsburg,Bayer 04,0.0
315,Wolfsburg,Eintracht Frankfurt,0.10526315789473684
316,Wolfsburg,SC Freiburg,0.36363636363636365
317,Wolfsburg,SV Werder,0.0
318,Wolfsburg,Hertha BSC,0.0
319,Wolfsburg,1. FC Köln,0.0
320,Wolfsburg,Mainz 05,0.0
321,Wolfsburg,Borussia M'gladbach,0.1578947368421053
322,Wolfsburg,Union Berlin,0.08333333333333337
323,Wolfsburg,VfB Stuttgart,0.15384615384615385
