,name,matchday,event_type,count
293850,Robert Lewandowski,15,unsuccessfulTackle,4
293865,Robert Lewandowski,15,yellowCard,0
294827,Robert Lewandowski,16,awardedPenalty,0
294832,Robert Lewandowski,16,blockedGoalShot,0
294828,Robert Lewandowski,16,causedPenalty,0
294819,Robert Lewandowski,16,cross,0
294837,Robert Lewandowski,16,defended,0
294823,Robert Lewandowski,16,doublePack,0
294834,Robert Lewandowski,16,error,0
294818,Robert Lewandowski,16,farCorner,0
294806,Robert Lewandowski,16,foul,1
294820,Robert Lewandowski,16,freeKick,0
294807,Robert Lewandowski,16,goal,1
294838,Robert Lewandowski,16,goalAgainst,0
294817,Robert Lewandowski,16,goalAssist,0
294808,Robert Lewandowski,16,goalMissedFar,1
294824,Robert Lewandowski,16,hattrick,0
294809,Robert Lewandowski,16,interception,1
294836,Robert Lewandowski,16,lostPenalty,0
294822,Robert Lewandowski,16,missedChance,0
294833,Robert Lewandowski,16,offside,0
294826,Robert Lewandowski,16,ownGoal,0
294810,Robert Lewandowski,16,pass,16
294825,Robert Lewandowski,16,penaltyGoal,0
294831,Robert Lewandowski,16,redCard,0
294835,Robert Lewandowski,16,savedPenalty,0
294830,Robert Lewandowski,16,secondYellowCard,0
294811,Robert Lewandowski,16,shotAtGoal,3
294812,Robert Lewandowski,16,successfulTackle,8
294813,Robert Lewandowski,16,superPass,1
294816,Robert Lewandowski,16,throwIn,0
294814,Robert Lewandowski,16,unsuccessfulPass,5
294821,Robert Lewandowski,16,unsuccessfulPenalty,0
294815,Robert Lewandowski,16,unsuccessfulTackle,9
294829,Robert Lewandowski,16,yellowCard,0
295799,Robert Lewandowski,17,awardedPenalty,0
295804,Robert Lewandowski,17,blockedGoalShot,0
295800,Robert Lewandowski,17,causedPenalty,0
295791,Robert Lewandowski,17,cross,0
295808,Robert Lewandowski,17,defended,0
295796,Robert Lewandowski,17,doublePack,0
295805,Robert Lewandowski,17,error,0
295776,Robert Lewandowski,17,farCorner,1
295777,Robert Lewandowski,17,foul,1
295792,Robert Lewandowski,17,freeKick,0
295795,Robert Lewandowski,17,goal,0
295809,Robert Lewandowski,17,goalAgainst,0
295790,Robert Lewandowski,17,goalAssist,0
295778,Robert Lewandowski,17,goalMissedFar,1
295797,Robert Lewandowski,17,hattrick,0
295793,Robert Lewandowski,17,interception,0
295807,Robert Lewandowski,17,lostPenalty,0
295779,Robert Lewandowski,17,missedChance,1
295780,Robert Lewandowski,17,offside,1
295798,Robert Lewandowski,17,ownGoal,0
295781,Robert Lewandowski,17,pass,16
295782,Robert Lewandowski,17,penaltyGoal,1
295783,Robert Lewandowski,17,playerOff,1
295803,Robert Lewandowski,17,redCard,0
295806,Robert Lewandowski,17,savedPenalty,0
295802,Robert Lewandowski,17,secondYellowCard,0
295784,Robert Lewandowski,17,shotAtGoal,2
295785,Robert Lewandowski,17,successfulTackle,1
295788,Robert Lewandowski,17,superPass,0
295789,Robert Lewandowski,17,throwIn,0
295786,Robert Lewandowski,17,unsuccessfulPass,5
295794,Robert Lewandowski,17,unsuccessfulPenalty,0
295787,Robert Lewandowski,17,unsuccessfulTackle,3
295801,Robert Lewandowski,17,yellowCard,0
296764,Robert Lewandowski,18,awardedPenalty,0
296769,Robert Lewandowski,18,blockedGoalShot,0
296765,Robert Lewandowski,18,causedPenalty,0
296742,Robert Lewandowski,18,cross,1
296774,Robert Lewandowski,18,defended,0
296759,Robert Lewandowski,18,doublePack,0
296771,Robert Lewandowski,18,error,0
296754,Robert Lewandowski,18,farCorner,0
296763,Robert Lewandowski,18,foul,0
296755,Robert Lewandowski,18,freeKick,0
296743,Robert Lewandowski,18,goal,1
296775,Robert Lewandowski,18,goalAgainst,0
296753,Robert Lewandowski,18,goalAssist,0
296744,Robert Lewandowski,18,goalMissedFar,1
296760,Robert Lewandowski,18,hattrick,0
296756,Robert Lewandowski,18,interception,0
296773,Robert Lewandowski,18,lostPenalty,0
296758,Robert Lewandowski,18,missedChance,0
296770,Robert Lewandowski,18,offside,0
296762,Robert Lewandowski,18,ownGoal,0
296745,Robert Lewandowski,18,pass,16
296761,Robert Lewandowski,18,penaltyGoal,0
296746,Robert Lewandowski,18,playerOff,1
296768,Robert Lewandowski,18,redCard,0
296772,Robert Lewandowski,18,savedPenalty,0
296767,Robert Lewandowski,18,secondYellowCard,0
296747,Robert Lewandowski,18,shotAtGoal,2
296748,Robert Lewandowski,18,successfulTackle,3
296751,Robert Lewandowski,18,superPass,0
296752,Robert Lewandowski,18,throwIn,0
296749,Robert Lewandowski,18,unsuccessfulPass,7
296757,Robert Lewandowski,18,unsuccessfulPenalty,0
296750,Robert Lewandowski,18,unsuccessfulTackle,5
296766,Robert Lewandowski,18,yellowCard,0
297734,Robert Lewandowski,19,awardedPenalty,0
297740,Robert Lewandowski,19,blockedGoalShot,0
297735,Robert Lewandowski,19,causedPenalty,0
297724,Robert Lewandowski,19,cross,0
297744,Robert Lewandowski,19,defended,0
297730,Robert Lewandowski,19,doublePack,0
297741,Robert Lewandowski,19,error,0
297723,Robert Lewandowski,19,farCorner,0
297713,Robert Lewandowski,19,foul,2
