is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
0.0,3.76,4.43,1.8,1.0,4,0,0
1.0,3.79,3.79,1.93,1.0,4,0,0
0.0,3.79,1.81,4.28,2.0,4,0,0
1.0,3.72,4.09,1.86,1.0,4,0,0
0.0,3.99,1.79,4.2,2.0,4,0,0
1.0,3.43,2.94,2.41,1.0,4,0,0
0.0,3.71,2.54,2.61,0.0,4,0,0
1.0,4.86,7.0,1.44,0.0,4,0,0
0.0,3.76,2.28,2.92,0.0,4,0,0
1.0,4.06,3.96,1.83,0.0,4,0,0
0.0,6.92,12.16,1.22,0.0,4,0,0
1.0,4.23,3.07,2.07,0.0,4,0,0
0.0,11.59,1.09,24.69,0.0,13,0,3
1.0,3.44,2.74,2.55,0.0,13,0,3
0.0,6.14,1.26,10.84,0.0,13,0,3
1.0,3.23,2.59,2.82,0.0,13,0,3
0.0,6.84,1.21,13.27,1.0,13,0,3
1.0,3.61,2.23,3.15,1.0,13,0,3
0.0,3.48,2.21,3.24,0.0,13,0,3
1.0,3.58,1.99,3.77,0.0,13,0,3
0.0,5.3,1.35,8.36,0.0,13,0,3
1.0,4.42,1.52,6.11,0.0,13,0,3
0.0,3.6,1.92,3.98,0.0,13,0,3
1.0,3.48,2.33,3.01,1.0,13,0,3
1.0,3.35,3.32,2.23,1.0,13,0,3
0.0,3.87,1.72,4.75,1.0,13,0,3
1.0,4.1,1.73,4.44,1.0,13,0,3
0.0,4.47,1.52,6.1,1.0,13,0,3
1.0,3.25,2.79,2.62,0.0,13,0,3
1.0,7.92,1.18,13.48,0.0,13,0,3
0.0,3.54,1.95,3.98,0.0,13,0,3
1.0,5.39,1.33,9.24,1.0,13,0,3
0.0,3.63,1.78,4.7,1.0,13,0,3
1.0,5.5,1.32,9.24,0.0,13,0,3
0.0,4.57,1.5,6.2,0.0,13,0,3
1.0,3.54,2.11,3.47,0.0,13,0,3
0.0,5.02,1.35,9.39,0.0,13,0,3
1.0,4.6,1.46,6.85,0.0,13,0,3
0.0,6.48,1.23,12.45,0.0,13,0,3
1.0,3.34,2.29,3.22,0.0,13,0,3
0.0,3.94,1.69,4.94,1.0,13,0,3
0.0,3.65,1.75,5.0,1.0,13,0,3
1.0,4.67,1.45,7.0,0.0,13,0,3
0.0,6.72,1.22,12.63,1.0,13,0,3
1.0,6.92,1.22,12.16,1.0,13,0,3
0.0,5.57,1.35,8.01,1.0,13,0,3
0.0,4.19,1.65,4.91,0.0,2,0,1
1.0,3.52,2.53,2.71,1.0,2,0,1
0.0,3.56,2.14,3.3,1.0,2,0,1
1.0,7.73,1.19,13.73,0.0,2,0,1
0.0,3.89,1.69,5.06,0.0,2,0,1
1.0,4.96,1.4,7.49,0.0,2,0,1
0.0,3.69,1.84,4.31,0.0,2,0,1
1.0,4.34,1.55,5.77,0.0,2,0,1
0.0,6.73,1.22,13.07,0.0,2,0,1
1.0,3.46,2.47,2.83,0.0,2,0,1
0.0,3.86,1.79,4.33,0.0,2,0,1
1.0,3.18,2.58,2.87,0.0,2,0,1
0.0,3.35,2.23,3.32,1.0,2,0,1
1.0,4.17,1.59,5.62,0.0,2,0,1
1.0,3.58,1.91,4.1,0.0,2,0,1
0.0,3.88,1.71,4.92,0.0,2,0,1
1.0,3.77,1.82,4.32,0.0,2,0,1
1.0,3.78,1.78,4.5,0.0,2,0,1
0.0,3.21,2.27,3.39,0.0,2,0,1
1.0,3.19,2.3,3.31,0.0,2,0,1
0.0,8.3,1.16,15.56,0.0,2,0,1
1.0,3.81,1.68,5.27,0.0,2,0,1
0.0,6.83,1.2,14.26,0.0,2,0,1
1.0,3.38,2.0,3.96,0.0,2,0,1
0.0,4.98,1.38,8.18,1.0,2,0,1
1.0,4.95,1.37,8.83,1.0,2,0,1
0.0,3.64,1.8,4.62,0.0,2,0,1
1.0,3.2,2.55,2.94,0.0,2,0,1
0.0,3.21,2.49,2.98,0.0,2,0,1
